row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,20240626-R4CC.mzML Peak area,20240626-R4H.mzML Peak area,20240626-R4G.mzML Peak area,20240626-R4MC.mzML Peak area,
37,226.1800627811548,7.7370834,,,,,,,,,,,0,0,0,11032.363,
32,227.1557764863584,7.614405,,,,0,,,,,,,4732.13,4098.1743,6631.904,0,
18,227.16698024236084,6.007117,,,,,,,,,,,6214.4834,7650.2427,8305.544,0,
41,228.19555501581954,8.661333,,,,,,,,,,,0,0,0,23769.926,
14,245.11948091478496,4.7889333,,,,,,,,,,,112396.17,127570.06,151341.61,0,
13,245.11948386037497,4.485361,,,,,,,,,,,46634.387,53766.25,57185.74,0,
15,245.12618557997467,4.6490417,,,,,,,,,,,9656.073,0,0,17382.717,
17,247.1329041480838,5.5883837,,,,,,,,,,,0,10319.686,11643.724,0,
20,255.05569898307508,6.1728387,,,,,,,,,,,9955.075,14333.166,17657.99,0,
168,256.25179251684375,15.009972,,,,,,,,,,,32705.592,25559.887,33066.625,0,
169,256.2586748144942,15.013425,,,,,,,,,,,26093.996,0,0,40182.06,
21,261.15014902220787,6.252772,,,,,,,,,,,12596.149,16545.29,18273.824,0,
55,263.21181836867794,10.003061,,,,,,,,,,,14914.536,14943.74,15068.057,0,
56,263.21903874707766,10.017359,,,,,,,,,,,10432.472,0,0,17517.916,
183,265.24008645119665,16.094854,,,,13,,,,,,,17315.764,14322.368,17702.71,0,
23,268.16606644277397,6.5115666,,,,,,,,,,,0,7582.4336,0,0,
26,271.05234550589375,7.132275,,,,,,,,,,,8853.5625,0,13244.019,0,
44,274.2712014092484,9.145733,,,,,,,,,,,2810.4587,0,0,7735.979,
5,277.1471869441875,2.9917583,,,,,,,,,,,11344.696,0,13214.673,0,
25,279.1463151589485,6.7451086,,,,,,,,,,,0,15269.6045,17772.805,0,
148,280.2509595159645,14.131267,,,,,,,,,,,38856.336,34918.96,42763.23,0,
149,280.25845470459114,14.138592,,,,,,,,,,,39087.305,0,0,41114.35,
174,282.2660940061705,15.2833605,,,,,,,,,,,99547.55,81737.72,101278.85,0,
175,282.2739043251696,15.2959585,,,,,,,,,,,80266.305,0,0,104265.05,
27,283.1408416528758,7.368767,,,,2,,,,,,,10572.53,10498.518,10180.875,0,
28,283.1486043061495,7.384508,,,,5,,,,,,,8387.597,0,0,11652.897,
184,283.2498148433437,16.094854,,,,13,,,,,,,22371.715,19314.43,22396.598,0,
182,283.25758287224903,16.09584,,,,,,,,,,,7473.446,0,0,18633.768,
188,284.28107753950206,16.758774,,,,,,,,,,,114542.28,52542.24,66768.13,0,
189,284.2888419040433,16.762241,,,,,,,,,,,75495.44,0,0,63303.625,
24,288.1339553183434,6.6726165,,,,,,,,,,,0,10434.605,0,0,
1,300.0972940671668,2.199522,,,,,,,,,,,10910.027,13863.688,28809.854,0,
105,305.2563460280084,12.644912,,,,,,,,,,,16385.596,9833.965,16807.23,0,
104,305.26444581390376,12.6427,,,,,,,,,,,16578.45,0,0,16770.229,
57,307.2363762251948,10.078912,,,,,,,,,,,24413.385,23550.805,25268.549,0,
58,307.2448196298749,10.0979,,,,,,,,,,,24159.926,0,0,25722.031,
165,309.22854056431413,14.7460165,,,,,,,,,,,21225.13,18406.523,21900.342,0,
164,309.23681122108815,14.751117,,,,,,,,,,,16012.304,0,0,21608.451,
190,310.30387994270643,16.943241,,,,,,,,,,,7124.915,0,0,71479.55,
185,334.3063353179296,16.265116,,,,,,,,,,,0,0,0,22670.31,
192,336.3098691283387,17.256823,,,,,,,,,,,14592.187,20588.676,15160.781,0,
193,336.3186775293288,17.26625,,,,,,,,,,,4682.749,0,0,185246.56,
150,336.32312286997796,14.15225,,,,,,,,,,,0,0,0,14598.031,
204,338.3246722558652,18.477322,,,,,,,,,,,225341.9,306568.66,255330.03,0,
203,338.3331709358863,18.450916,,,,,,,,,,,181946.36,0,0,1554519.2,
207,340.351559719573,20.28685,,,,,,,,,,,0,0,0,13317.964,
103,349.2899649050084,12.615784,,,,,,,,,,,5758.615,0,0,6687.5757,
60,351.26118221145026,10.145894,,,,6,0,[M+H]+,,1,59,350.25359,9676.435,9638.625,10065.316,0,
61,351.2707610991811,10.151434,,,,1,2,[M+H]+,,1,62,350.26343,9364.989,0,0,9963.714,
170,352.3171636849731,15.134434,,,,,,,,,,,0,0,0,10171.616,
163,352.3174982320551,14.6775,,,,,,,,,,,0,0,0,55413.773,
178,354.332795568773,15.673083,,,,,,,,,,,0,0,0,21457.613,
74,358.18446208948984,11.198616,,,,,,,,,,,0,7662.4136,3316.864,0,
73,358.19092964627987,11.196275,,,,,,,,,,,17510.645,0,4849.494,0,
30,359.19031497219703,7.377678,,,,2,,,,,,,97242.7,88684.17,85402.22,0,
29,359.20016589964075,7.3777504,,,,5,,,,,,,75706.58,0,0,101435.45,
133,363.2951707498332,13.440422,,,,,,,,,,,32225.27,28036.217,33073.47,0,
132,363.3046705994805,13.438467,,,,,,,,,,,32398.82,0,0,35400.54,
206,366.3667169022245,20.155817,,,,,,,,,,,0,0,0,21381.047,
59,368.28710553541686,10.1414,,,,6,0,[M+NH4]+,,2,59;60,350.25359,10551.236,10445.952,10514.54,0,
62,368.297203710048,10.151434,,,,1,2,[M+NH4]+,,2,62;61,350.26343,10507.428,0,0,11519.872,
197,391.2651779729306,17.562561,,,,,,,,,,,21562.936,15049.738,22419.344,0,
196,391.2756900062085,17.55529,,,,,,,,,,,7599.4844,0,0,14847.344,
45,406.18371363505787,9.172874,,,,,,,,,,,0,6765.6963,336.29813,0,
46,406.20241639378173,9.1955,,,,,,,,,,,0,0,0,25982.426,
63,412.31159976239655,10.181517,,,,,,,,,,,16102.793,16726.37,17139.518,0,
64,412.3228584287556,10.185041,,,,,,,,,,,6874.71,0,0,18664.254,
151,421.33380190755526,14.180484,,,,16,4,[M+H]+,,1,152,420.32614,12737.557,11878.413,13767.711,0,
153,421.34503813259676,14.192383,,,,9,6,[M+H]+,,1,154,420.3376,12982.254,0,0,14021.691,
194,423.3093880799595,17.274551,,,,,,,,,,,18961.412,0,31979.47,0,
195,423.3164024205057,17.279682,,,,,,,,,,,6864.623,0,0,14088.66,
205,427.36798961124396,19.393642,,,,,,,,,,,2641.822,0,0,9776.695,
198,431.15758130482965,17.914173,,,,,,,,,,,4058.8816,5275.1646,7910.755,0,
152,438.3595703182644,14.184967,,,,16,4,[M+NH4]+,,2,151;152,420.32614,18680.25,17154.424,19116.48,0,
154,438.37126403282286,14.192383,,,,9,6,[M+NH4]+,,2,153;154,420.3376,18548.357,0,0,20529.701,
47,449.7931965266416,9.317033,,,,15,,,,,,,16135.438,11776.403,22382.44,0,
98,454.3555662204296,12.528295,,,,4,,,,,,,6442.318,4911.535,7244.6064,0,
100,454.36759916957334,12.535008,,,,3,,,,,,,6442.318,0,0,7802.7524,
65,456.3360297060701,10.221839,,,,,,,,,,,17420.404,14871.391,17587.072,0,
66,456.3482314125855,10.238716,,,,,,,,,,,6319.1035,0,0,17908.65,
51,456.80073544196927,9.647161,,,,11,,,,,,,40841.758,44386.645,85085.82,0,
52,463.80398658850334,9.814141,,,,12,,,,,,,0,7348.009,7196.096,0,
75,466.26650272736015,11.234183,,,,,,,,,,,0,14078.863,0,0,
130,468.3699065042079,13.287839,,,,,,,,,,,7378.2407,7485.883,7801.396,0,
131,468.38221572886573,13.290225,,,,,,,,,,,7605.63,0,0,8485.86,
199,471.08143966211577,18.28271,,,,14,,,,,,,48117.81,36113.277,64609.63,0,
201,471.0939790632291,18.264576,,,,8,,,,,,,10625.457,0,0,51486.637,
200,473.07940579044686,18.28271,,,,14,,,,,,,20035.27,14577.82,28023.697,0,
202,473.09210638400145,18.264576,,,,8,,,,,,,4725.0264,0,0,23260.795,
85,476.2903787803523,12.253484,,,,,,,,,,,12342.223,0,0,0,
147,482.38389382688337,14.07755,,,,,,,,,,,6092.308,5812.9966,6016.2075,0,
76,484.3783566213708,11.745892,,,,7,,,,,,,1266.1025,0,0,9459.727,
166,496.39844959644944,14.849017,,,,,,,,,,,29955.033,29424.92,28347.541,0,
167,496.4117159726633,14.858684,,,,,,,,,,,24854.568,0,0,33814.98,
99,498.37983724967734,12.532756,,,,4,,,,,,,9412.34,7676.2715,9727.543,0,
97,498.39307371711834,12.534975,,,,3,,,,,,,9641.578,0,0,10771.794,
67,500.36052923838855,10.27119,,,,,,,,,,,12339.112,11223.985,12101.006,0,
68,500.3740992300393,10.285784,,,,,,,,,,,8460.771,0,0,12900.2295,
128,512.3941970717252,13.260905,,,,,,,,,,,10233.546,9938.224,10593.188,0,
129,512.4076961255957,13.263358,,,,,,,,,,,10441.449,0,0,11141.556,
145,526.4083243415065,13.983251,,,,,,,,,,,10067.813,8513.716,9608.184,0,
146,526.4223209674906,13.990467,,,,,,,,,,,10212.232,0,0,9824.476,
79,528.3899894978866,11.756378,,,,17,,,,,,,6913.8975,2392.266,9899.602,0,
81,528.40412927426,11.772775,,,,7,,,,,,,6913.8975,0,0,10719.88,
72,536.3471743122683,11.159217,,,,,,,,,,,0,0,0,63236.188,
94,542.4043119495261,12.492444,,,,,,,,,,,9758.988,8209.288,10171.29,0,
96,542.4187070479154,12.508142,,,,,,,,,,,9958.111,0,0,11328.445,
69,544.3802730786965,10.296633,,,,,,,,,,,0,7497.476,8232.4375,0,
70,544.399898509388,10.305958,,,,,,,,,,,6647.6904,0,0,7996.5425,
118,546.3771135656006,13.09055,,,,,,,,,,,14677.221,13071.46,15022.982,0,
117,546.3915706329597,13.094958,,,,,,,,,,,13440.763,0,0,16189.482,
176,554.4370520878936,15.480167,,,,,,,,,,,36350.594,31014.111,35925.566,0,
177,554.452220579675,15.4769,,,,,,,,,,,36528.03,0,0,36911.445,
126,556.4185653055619,13.234073,,,,,,,,,,,9817.818,10171.961,10198.68,0,
127,556.4332535393937,13.243192,,,,,,,,,,,10114.699,0,0,11143.376,
143,570.4326974675301,13.9384775,,,,,,,,,,,9435.754,8656.462,9551.493,0,
144,570.4477389660282,13.950167,,,,,,,,,,,9666.081,0,0,9634.642,
80,572.4145605510298,11.769773,,,,17,,,,,,,6739.356,5338.459,9392.027,0,
77,572.4298000020927,11.76605,,,,7,,,,,,,6739.356,0,0,10724.113,
162,584.4523915636614,14.637592,,,,,,,,,,,8102.267,0,8215.679,0,
111,586.302534120964,12.9812,,,,,,,,,,,6022.274,0,0,0,
93,586.4287226434255,12.483539,,,,,,,,,,,8419.604,7924.083,9728.696,0,
95,586.4443357002283,12.494717,,,,,,,,,,,8583.29,0,0,10791.299,
116,590.4014053845175,13.054584,,,,,,,,,,,18728.04,17243.953,19471.648,0,
115,590.4171118328344,13.0547085,,,,,,,,,,,18984.762,0,0,21072.287,
124,600.4428730166214,13.202683,,,,,,,,,,,8705.946,8213.398,9531.237,0,
125,600.4587044715136,13.209351,,,,,,,,,,,8886.133,0,0,10372.1,
179,612.4755143848608,16.045465,,,,,,,,,,,31947.049,28285.984,31840.994,0,
180,612.4922446745056,16.055626,,,,,,,,,,,15969.397,0,0,34515.633,
141,614.4570443112735,13.9071665,,,,,,,,,,,9161.548,7711.969,8934.309,0,
142,614.4732056555247,13.916558,,,,,,,,,,,9317.152,0,0,9431.255,
78,616.4554533471636,11.76605,,,,7,,,,,,,5768.1616,0,0,8755.268,
181,617.431008079496,16.081388,,,,,,,,,,,3592.1902,1760.3174,5081.8433,0,
160,628.4771213997726,14.590391,,,,,,,,,,,7555.0747,0,7661.0034,0,
161,628.4880586296238,14.589817,,,,,,,,,,,7794.615,0,0,5976.9673,
92,630.4531366813756,12.474556,,,,,,,,,,,7769.2725,6825.3975,8583.49,0,
91,630.4698670362063,12.474466,,,,,,,,,,,8015.187,0,0,9419.749,
113,634.4257058246229,13.027617,,,,,,,,,,,18893.424,17776.283,20242.707,0,
114,634.4426050970035,13.02775,,,,,,,,,,,18373.482,0,0,22326.146,
122,644.4672845933256,13.175766,,,,,,,,,,,7894.315,7339.179,7926.6377,0,
123,644.484200879022,13.182442,,,,,,,,,,,8067.1943,0,0,8983.535,
139,658.4813653464051,13.862456,,,,,,,,,,,8275.772,7970.799,7802.27,0,
140,658.4986348333807,13.869608,,,,,,,,,,,8446.258,0,0,8909.699,
187,670.5142592679148,16.615839,,,,,,,,,,,18390.053,15575.0,17812.422,0,
186,670.5322889878644,16.62151,,,,,,,,,,,18543.8,0,0,18680.766,
159,672.4955415672423,14.543927,,,,,,,,,,,7104.8843,6706.633,7167.714,0,
158,672.513367333494,14.542592,,,,,,,,,,,7287.8755,0,0,7019.13,
90,674.4773799410794,12.456677,,,,,,,,,,,6512.8545,5480.5396,6734.725,0,
89,674.4953491920966,12.454317,,,,,,,,,,,6763.7705,0,0,7576.118,
112,678.450114223375,12.996211,,,,,,,,,,,14391.05,15519.154,16725.879,0,
110,678.4681308141376,12.987442,,,,,,,,,,,11549.781,0,0,19392.047,
173,686.5278757863838,15.208384,,,,,,,,,,,5774.7085,0,0,6248.907,
120,688.4916383037995,13.148839,,,,,,,,,,,6562.458,6495.169,6823.5464,0,
121,688.5096652358837,13.155517,,,,,,,,,,,6795.4795,0,0,7446.5156,
137,702.5057087428486,13.8311615,,,,,,,,,,,7213.2783,6398.2954,7442.6914,0,
138,702.5241525805832,13.83595,,,,,,,,,,,7457.56,0,0,7814.5386,
134,704.3976966803576,13.667684,,,,,,,,,,,6853.7075,0,0,0,
156,716.526450774615,14.496242,,,,,,,,,,,6913.508,0,6645.267,0,
157,716.5390214264961,14.502266,,,,,,,,,,,7096.6475,0,0,7144.0356,
87,718.5015936790325,12.43425,,,,,,,,,,,6448.8213,5914.144,6741.66,0,
88,718.5207739411685,12.440833,,,,,,,,,,,6608.2173,0,0,6510.1636,
108,722.4744637691343,12.9648285,,,,,,,,,,,9308.421,10919.404,13008.061,0,
109,722.4936660621704,12.953842,,,,,,,,,,,3697.6904,0,0,15117.909,
191,728.5530610359816,17.162561,,,,,,,,,,,4153.3047,6976.2217,9607.2295,0,
172,730.5266837689152,15.149433,,,,,,,,,,,0,6216.982,6915.2417,0,
171,730.5531503982916,15.147875,,,,,,,,,,,6625.6265,0,0,6772.935,
119,732.5352055632795,13.142067,,,,,,,,,,,5073.6245,0,0,5732.94,
135,746.5300163248136,13.795212,,,,,,,,,,,6591.8867,6557.203,7052.8027,0,
136,746.5496105971528,13.79535,,,,,,,,,,,6823.0957,0,0,7024.451,
155,760.5645534172925,14.455175,,,,,,,,,,,6168.8745,0,0,6934.8477,
86,762.5328787049388,12.415283,,,,,,,,,,,5266.3086,0,5808.1753,0,
107,766.4988748273948,12.933417,,,,,,,,,,,7939.228,7235.3857,8630.099,0,
106,766.5191689558883,12.926867,,,,,,,,,,,4535.7466,0,0,10648.485,
48,898.5784542158598,9.321533,,,,15,,,,,,,40822.035,43204.164,68497.234,0,
50,912.5932468836112,9.629222,,,,11,,,,,,,142337.19,161483.45,374287.7,0,
53,926.6005604863162,9.807425,,,,12,,,,,,,0,17312.91,17735.025,0,
54,926.6088837833854,9.873294,,,,,,,,,,,319.02426,15128.052,10285.76,0,
49,930.5417175549884,9.414192,,,,,,,,,,,0,163.448,6041.79,0,
